id,currentLocationX,currentLocationY,floor,capabilities,centerFreq0,centerFreq1,channelWidth,frequency,RSS,roomNumber,MAC,,,,,
6442,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5765,-90,134,44:48:c1:be:36:31,,,,,
6443,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5795,0,1,5785,-51,134,24:de:c6:3f:f0:38,,,,,
6444,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5795,0,1,5785,-51,134,24:de:c6:3f:f0:38,,,,,
6445,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5795,0,1,5785,-51,134,24:de:c6:3f:f0:38,,,,,
6446,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-75,134,34:fc:b9:60:d5:80,,,,,
6447,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-74,134,34:fc:b9:60:d5:80,,,,,
6448,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-76,134,34:fc:b9:60:d5:80,,,,,
6449,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-78,134,44:48:c1:be:1a:e0,,,,,
6450,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-82,134,44:48:c1:be:1a:e0,,,,,
6451,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-79,134,44:48:c1:be:1a:e0,,,,,
6452,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-67,134,f0:5c:19:f8:81:80,,,,,
6453,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-65,134,f0:5c:19:f8:81:80,,,,,
6454,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-63,134,f0:5c:19:f8:81:80,,,,,
6455,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-77,134,34:fc:b9:60:bd:c0,,,,,
6456,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-79,134,34:fc:b9:60:bd:c0,,,,,
6457,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-80,134,34:fc:b9:60:bd:c0,,,,,
6458,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-75,134,34:fc:b9:60:db:f0,,,,,
6459,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-78,134,34:fc:b9:60:db:f0,,,,,
6460,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-76,134,34:fc:b9:60:db:f0,,,,,
6461,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-87,134,44:48:c1:be:19:41,,,,,
6462,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-88,134,44:48:c1:be:19:41,,,,,
6463,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-95,134,44:48:c1:be:43:40,,,,,
6464,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-82,134,44:48:c1:be:36:21,,,,,
6465,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-82,134,44:48:c1:be:36:21,,,,,
6466,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-85,134,44:48:c1:be:36:21,,,,,
6467,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-84,134,44:48:c1:be:1a:f0,,,,,
6468,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-84,134,44:48:c1:be:1a:f0,,,,,
6469,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-93,134,00:0b:86:7c:f7:20,,,,,
6470,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-79,134,44:48:c1:be:30:10,,,,,
6471,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-79,134,44:48:c1:be:30:10,,,,,
6472,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5220,-92,134,44:48:c1:be:32:10,,,,,
6473,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-92,134,44:48:c1:be:34:e0,,,,,
6474,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5805,-93,134,44:48:c1:be:19:51,,,,,
6475,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-92,134,44:48:c1:be:25:e0,,,,,
6476,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-92,134,44:48:c1:be:1a:a0,,,,,
6477,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-71,134,34:fc:b9:60:db:e0,,,,,
6478,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-88,134,44:48:c1:be:4a:20,,,,,
7824,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-59,140,34:fc:b9:60:d5:90,,,,,
7825,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-58,140,34:fc:b9:60:d5:90,,,,,
7826,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-58,140,34:fc:b9:60:d5:90,,,,,
7827,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-63,140,f0:5c:19:f8:81:90,,,,,
7828,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5240,-62,140,f0:5c:19:f8:81:90,,,,,
7829,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-44,140,34:fc:b9:60:bd:d0,,,,,
7830,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-43,140,34:fc:b9:60:bd:d0,,,,,
7831,102.4688187,125.4561234,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-42,140,34:fc:b9:60:bd:d0,,,,,
